Front,Back
przewód piersiowy,thoracic duct [sound:sapi5js-cb52ec5d-c4b2033e-224067c2-75b04a82-ede6dd63.mp3]
cofnąć dostęp,revoke access [sound:sapi5js-3f90f511-b5ca5261-2f35f0a8-05a7f0f4-382fc22a.mp3]
zrównoważony,sustainable [sound:sapi5js-73d4dc79-0a032a62-0cbfcfda-5b22a080-4d49b48e.mp3]
zwerbować,enlist [sound:sapi5js-39c56034-a3a51027-bfa640a1-ee21a6c2-0a2d01c8.mp3]
"nałożyć<div>Tax</div><div><img src=""image-dc4c51867265d0562beaf6d4bfa3150a021a78f5.jpg""><br></div>",levy [sound:sapi5js-f52cc584-918a6066-22f251e1-c93535d0-eac11d9d.mp3]
sprać,trounce [sound:sapi5js-8be40e2c-712fe273-22a083ae-68ac499c-0e3b18b3.mp3]
opowiada,recounts [sound:sapi5js-1edb13e4-519be702-72653552-003ec206-3e83f16a.mp3]
sytuacja,plight [sound:sapi5js-6bee2c7e-09695562-835f0199-fe937e41-e9ba33f2.mp3]
siła woli,willpower [sound:sapi5js-feaaa527-6664b0b1-984add86-c2d2fa60-03bfd3dd.mp3]
Ilość ma swoją własną jakość.,Quantity has a quality all its own. [sound:sapi5js-17e782bd-51183d49-cf4e133e-b3ad6a6a-5dc2d1f2.mp3]
"przezwyciężyć<div><img src=""paste-5ae6f244b8fc79b3b646f30b5d4982b996677e08.jpg""><br></div>",to surmount [sound:sapi5js-15e91120-05f179f5-1c19fc3c-d3f28911-e77f80c2.mp3]
niedopasowanie,mismatch [sound:sapi5js-513c8a0a-cc7c5cfa-dd5ab441-e1f57c56-f887db1f.mp3]
ogromny błąd,huge blunder [sound:sapi5js-b7ae21a7-dc2a73d6-332923d1-c8727c21-236f3d04.mp3]
czuję się okropnie,i feel dreadful [sound:sapi5js-b2855237-86221b1e-8983417b-9caefd88-a14fa6c3.mp3]
zapamiętane,remembered [sound:sapi5js-71081d9e-c956ae13-2d2afe06-49f6d530-d6fba894.mp3]
poronienia,miscarriages [sound:sapi5js-06bce719-42dde64f-eda51e40-5fcc41f2-3f6b9fd4.mp3]
komórka macierzysta,stem cell [sound:sapi5js-d7b6dc4f-01f42cb3-335604b4-83813432-bb679cd4.mp3]
nadjeżdżający ruch,oncoming traffic [sound:sapi5js-cc27b7e3-0ee181a0-0bbaf68a-712f1dbb-8fda381d.mp3]
prawidłowo ustawiony,correctly angled [sound:sapi5js-589a1350-2dfceaac-db6eae15-d531a8cc-49473b52.mp3]
wyczyn kampanii,campaign stunt [sound:sapi5js-4f763823-1ac09341-6dcfa1f3-57b85de8-4c05cf0b.mp3]
podbudować<div>W budowlance</div><div>Support</div>,underpin [sound:sapi5js-7bff6bb3-d5912844-e75cfa09-25439f4b-cb1a244d.mp3]
"Confuse baffle<div>Zaskakujaco<br><div><img src=""image-b5a4e7d09bb3d5dbab0efe40f20a544a0f5d9b6e.jpg""><br></div><div><img src=""image-77e42fa64db9c5fb68a9ac47270298381b3604f2.jpg""><br></div></div>",bafflingly [sound:sapi5js-aca6891d-11804892-82adb0e9-cdd9099e-10a658c7.mp3]
"kopyta<div><img src=""image-20421bcac9906bcd1204e568eff650d4f6b48c3b.jpg""><br></div>",hooves [sound:sapi5js-8b4a222c-9599fc51-7a9fc57f-f15d1d82-be38ff7a.mp3]
"powiększony<div><img src=""image-2e4661ed9e9dee1d0a66d6d01aa52fa576cd8491.jpg""><br></div><div><img src=""image-6c8025dcc0ad2d854692da51f171b94f906ea475.jpg""><br></div>",magnified [sound:sapi5js-9bacd390-c46888c6-b88b25dc-da74671a-40cacd9b.mp3]
odtwarzać,retrace [sound:sapi5js-0aaf39db-f20d99b6-ceea1a36-23fb7ee8-63abcde6.mp3]
zajęty,seized [sound:sapi5js-a1f136a8-6ba47753-3940ffc5-0f56fa2a-be27c12c.mp3]
"zuchwały plan<div><img src=""image-82cd4ed8b4898e51e558aceefd91b3c863ee9b91.jpg""><br></div>",audacious plan [sound:sapi5js-67afabdd-50f5f5dc-cff2554d-90bc8adf-cb3d349a.mp3]
gorszy ranking,inferior ranking [sound:sapi5js-23a75e87-830274ac-41fb1c95-2c1fd862-314ea2b2.mp3]
start,embark [sound:sapi5js-0e1e2165-2d19c431-29071305-6a0fa9be-78bc26be.mp3]
zaokrętować,embark [sound:sapi5js-0e1e2165-2d19c431-29071305-6a0fa9be-78bc26be.mp3]
piegi,freckles [sound:sapi5js-479ffa3c-5f3b8d46-8a3ee2b6-e7481683-609776b5.mp3]
półkula,hemisphere [sound:sapi5js-63a6f10c-71843c35-3280e0ab-cab09de5-b4f36ef1.mp3]
ponowne uruchomienie,relaunching [sound:sapi5js-5a0f5257-527f74ed-a620c1e8-5e627450-821673e9.mp3]
chytry,sly [sound:sapi5js-70a2981a-0b3d9a16-e54c3a79-800492e8-17a7e628.mp3]
mieszkańcy,inhabitants [sound:sapi5js-e5a5fd0b-9faf58d5-523898ee-e379b123-d4557a98.mp3]
przebiegły cunning slave,cunning [sound:sapi5js-8684d2cb-9bc54fdb-477b06b0-573166a4-d7acfc83.mp3]
spiskować,to plot [sound:sapi5js-f702b622-3a3c360b-6b95dd44-8c4d05a4-9c899f2a.mp3]
"cecha<div><img src=""image-cfdff071cccbf8f816b1fc00f474c1e26fac4a89.jpg""><br></div>",trait [sound:sapi5js-1c8b89c4-a499c424-a1b7e213-f1aac779-0204d8ff.mp3]
"hołd<div><img src=""image-917e74afbb226435e6a18e56d76214989364f987.jpg""><br></div>",homage [sound:sapi5js-7bf5624c-3bd3f306-dfe451bd-d5d5e07f-ff1fe498.mp3]
domostwo,homeage [sound:sapi5js-14939d8c-f688d744-65f4b1d2-4c68a110-a1706df3.mp3]
"narzucone<div>Decision was not imposed on them by others&nbsp;</div><div><img src=""paste-123646051a1be6472a44e9e5c6004747ec50dda5.jpg""><br></div><div><img src=""paste-b6ebaefbccceab94004176ea0d1085ade6749e97.jpg""><br></div>",imposed [sound:sapi5js-8ab1640e-a7d75634-78c41d18-171c05f3-f06eab68.mp3]
pozbawiać,deprive [sound:sapi5js-d46950b3-45142a88-2a96f2fd-f3664759-78b30729.mp3]
klamra,brace [sound:sapi5js-1bda665e-acd69f64-774b8936-824bded3-37c25455.mp3]
odzyskano,retrieved [sound:sapi5js-4a88a25a-7ad64d6d-1988c5e2-29a6cfdb-56aba3bc.mp3]
"zrzeczenie się<div>""the life of the Spirit <b>required renunciation of marriage</b>""<br></div><div><img src=""image-033e8162af0cf47fc9d1dc3d4e6755593e63fb62.jpg""><br></div><div><img src=""image-56ceab826092cc0daae5ebfe9729e8eb2d70f6ff.jpg""><br></div>",renunciation [sound:sapi5js-8d90f663-8a3d28a0-47cdc765-17f7215a-f8541781.mp3]
w kolejce,queued [sound:sapi5js-442cf481-dad54c30-005b5a58-553f7d95-6bb465b8.mp3]
"na równi<div><img src=""image-fa306f21d6a6bd6d914a27bca0ac77aa7594a4d2.jpg""><br></div>",on par [sound:sapi5js-8b4eef7f-1f00301d-87bd463d-dd4048a5-78baa82c.mp3]
wojowniczy,militant [sound:sapi5js-4adbedfb-a4eb5c31-5205e5b2-e57f34e9-22e741af.mp3]
Niewierny,Faithless [sound:sapi5js-261d91f2-52df7f96-e5b0f655-7c2a1e87-1179edd5.mp3]
zalany,awash [sound:sapi5js-ee356999-12c20257-7c555677-1e31d99c-02503a13.mp3]
bezszwowy,seamless [sound:sapi5js-9ee826b1-b76989fd-144537f8-ae319db6-80098e38.mp3]
wróżki,psychics [sound:sapi5js-24b869d9-1ca855f8-fe3873de-75b2bdea-f492a9b9.mp3]
ośmiornica,octopus [sound:sapi5js-641ef037-7f973626-312a6346-e753914d-779638c3.mp3]
obrady,deliberations [sound:sapi5js-ff089bba-d0159274-dc801099-24f33890-6ff73aab.mp3]
nadążać,keep up [sound:sapi5js-75655df9-e4d3eb20-6da37833-8271cb1f-753c03da.mp3]
podtrzymany,upheld [sound:sapi5js-1180973f-45638dab-8be568ff-c8e058f8-379e1da6.mp3]
"uciekaj potajemnie, aby wziąć ślub, szczególnie bez zgody rodziców.  zbiec<div><img src=""paste-766f49e1019c99be165c9bb68b6b4b78891771df.jpg""><br></div><div>Elope</div>","run away secretly in order to get married, especially without parental consent&nbsp;"
"uciekaj potajemnie, aby wziąć ślub, szczególnie bez zgody rodziców.<div>Elope</div>","run away secretly in order to get married, especially without parental consent. [sound:sapi5js-9b0f8039-09cd8e7c-8852c8ac-8e5068c9-1b8518f3.mp3]"
nici dentystyczne,flossing [sound:sapi5js-f038e4a3-927f168e-58c2f3b8-c364c628-5c4df50b.mp3]
rozerwać cię,rip you off [sound:sapi5js-7ef7aa5a-73d55fc8-99eaf64d-be37d461-6a1b1314.mp3]
pośrednik,broker [sound:sapi5js-09192db5-e2734049-e9ebd17a-5ed24cfd-6510b5e6.mp3]
profity,perks [sound:sapi5js-af0777cf-72fbb30c-0f93db23-9ec05bd6-74ca20b3.mp3]
zabytkowe,vintage [sound:sapi5js-f84aa813-0ddec89c-ff740bf4-b42e5ec0-031af658.mp3]
pogarsza się,deteriorating [sound:sapi5js-2381dfb3-d3d0d77f-49825325-afc826da-89418356.mp3]
sprzeczne,contradicting [sound:sapi5js-e842b065-bfeff2fc-a71b0c6a-0834d0e7-562d7a59.mp3]
"parch<div><img src=""image-34a6d31f73c47b4b6b6c957eff15f60ef41bc902.jpg""><br></div>",scab [sound:sapi5js-ebca8c48-49fdb502-e827cff2-e47e373f-a509dba9.mp3]
mizoginia,misogyny [sound:sapi5js-695d14a9-7f1b6cf4-84eaf9a5-de53a452-fac2a130.mp3]
nagranie,footage [sound:sapi5js-9a813a5e-a6b15bfb-ced63214-74b9e774-170b1f84.mp3]
ciężki<div>Not right for the particular situation&nbsp;</div>,inapt [sound:sapi5js-2e4267ac-851e0f67-7175eb5f-3525873b-2f14c2a8.mp3]
do wewnątrz,inwards [sound:sapi5js-082b1c9b-a7e47233-a11cf516-2d414d73-a1f178d3.mp3]
"Pępek<div><img src=""image-ea149e156628da67b73b44104358a74e14c8b5e7.jpg""><br></div>",Navel [sound:sapi5js-c632c136-a721cb0a-51b281c8-6968f3e8-b6ac0556.mp3]
drabina,ladder [sound:sapi5js-197148c9-b3d84f75-59c3cccf-568faac7-bfbfbe81.mp3]
"trwały<div><b>Strong</b></div><div>Enamel szkliwo emalia haha<br><div>able to withstand wear, pressure, or damage</div><div>porcelain enamel is strong and durable”</div></div>",durable [sound:sapi5js-0c7626a4-39b160fb-70ecf22b-e908acb2-49861c25.mp3]
krata,grid [sound:sapi5js-0073872c-f515678a-ff40fb8c-f7ef07b2-40565acf.mp3]
zastój,standstill [sound:sapi5js-26447d54-97d07c25-096750a0-0396b3b1-d1e374a4.mp3]
"oset<div><img src=""image-afe559f623a30345e6fec37c89d54900ca352081.jpg""><br></div>",thistle [sound:sapi5js-0ccd477d-1a76427c-5f83e56c-c465fd02-0b31d166.mp3]
pokrzywa,nettle [sound:sapi5js-7a70bc52-02582fc6-72daf630-b6a0eabf-b25c3ea1.mp3]
słusznie,legitimately [sound:sapi5js-c4432427-44614eaf-47af150a-a7f9843f-dbec3112.mp3]
żarłok,glutton [sound:sapi5js-7ac98da9-ecdf6530-bb4156db-7d749dd0-dfd8b6dc.mp3]
oszustwo,scam [sound:sapi5js-4b73c493-4966cd1e-8b8f0b25-9d2f4718-1ea02396.mp3]
niedorzeczny,inept [sound:sapi5js-a9ccd8e6-7aacb455-4a4f0f86-20f1d6a0-1bef9b5c.mp3]
poprzednik,predecessor [sound:sapi5js-22f3be94-b6f3e6f7-a10fabb7-7d7694d9-1a74b85e.mp3]
wykoleić,derail [sound:sapi5js-e77250a8-44735e6d-9e63a9cc-80085d4e-0b7a223e.mp3]
gadać,chatter [sound:sapi5js-dff69499-f312cd85-d7cc088d-4025604e-01c32555.mp3]
zapalił się,ignited [sound:sapi5js-fcd29654-cacc27d5-1bcf662c-a1f33492-fce451b9.mp3]
"historyczne zniekształcenia<div><img src=""image-f3c399eeec1959c4f7ea20bfc9de46fca8b64f8a.jpg""><img src=""drawing-e65994864e9f513076465538228dca9dd252594f.png"" class=""drawing""><br><div><br></div></div>",historical distortions [sound:sapi5js-13bacac8-c13ff6f5-12acfaeb-d38a85a3-b7eb5b4c.mp3]
Po publicznym oburzeniu prawo zostało zmienione,"Following the public outcry, the law was altered [sound:sapi5js-317b1b73-89758336-1be6eecb-4f30e233-9a169410.mp3]"
"wrzawa<div><img src=""image-07b49ca3d5a0dcf1aa3fdd7eb5b27c340fa62f94.jpg""><br></div>",uproar [sound:sapi5js-7bdd8af5-d022d73a-76163856-c5d98853-4a516922.mp3]
"może wznowić stare kontrowersje, a nawet je zaostrzyć",might reignite old controversies and even exacerbate them [sound:sapi5js-d50ddfda-5127f115-549dc1ef-06448222-5afa162c.mp3]
"Not clear<div><img src=""image-ef7b9985ad1b9c3a7f97de05290e350078ec51fa.jpg""><br></div>",obscures [sound:sapi5js-b2def531-1b5850f5-bb8b7352-9be417a3-637eef22.mp3]
"Gdyby ludzie wiedzieli, o czym myślą kobiety, zajęliby się dwadzieścia razy odważniej.  (Alphonse Carr)","Gdyby ludzie wiedzieli, o czym myślą kobiety, zajęliby się dwadzieścia razy odważniej.  (Alphonse Carr) [sound:sapi5js-cf207266-db27564b-0a142f51-d717f7cf-51cef1a5.mp3]"
rozwalony,sprawling [sound:sapi5js-b4daf2a1-c817df9c-088348dd-a1de4b4c-7c78b05b.mp3]
"rabunek<div><img src=""image-afb220905e72e3edbd687072a940fc978475d1b0.jpg""><br></div>",mugging [sound:sapi5js-2626eef1-c128c3ba-bbf660e1-a9861440-61546ae2.mp3]
plwocina,sputum [sound:sapi5js-23f24ae3-172299d4-7ae34175-6a4ddaa7-362c0cc3.mp3]
"zapalenie oskrzeli<div>Bronchitis is inflammation of the bronchi in the lungs that causes coughing<br></div><div><img src=""image-a2cc08acc503fc13fa3fded429f7257c62ed34dd.jpg""><br></div>",bronchitis [sound:sapi5js-5d0d6251-b4226664-8a25913b-af0f94e6-cc1a0348.mp3]
"uwłaczający<div><img src=""paste-0e20caad715f24c3695cd5a82d85957c713f16a5.jpg""><br></div>",derogatory [sound:sapi5js-5086683c-d31d3407-80125562-0d73e09d-63a243a1.mp3]
płeć,gender [sound:sapi5js-8a0eaba9-7a6b4614-e00e04a2-a74238ba-8d5d9c84.mp3]
mogiła,grave [sound:sapi5js-777e0a55-d9c922ee-653cc4c7-915e7348-21fb05be.mp3]
opuszczony,desolate [sound:sapi5js-3d397e32-77d8c276-2d63981b-44a5681f-fb4fb406.mp3]
Inuit eskimos,Inuit [sound:sapi5js-86f7da5c-09aceddc-23914504-5db9f779-75670427.mp3]&nbsp;
"wplątać<div>Involve<br><div><img src=""image-dba99ed0ba9770e57b2c2c3c3ab60078ca93ca78.jpg""><br></div><div><img src=""image-f945bbd00572cad88e86a320be673aeafba0f94c.jpg""><br></div></div>",implicate [sound:sapi5js-36448a6d-a56243dc-7e63b5fb-70bdaa87-522c5bf2.mp3]
kontynuować,carry on [sound:sapi5js-6ca7ea4b-df83692f-996f377b-b71b2070-3518a793.mp3]
kult,worship [sound:sapi5js-3ee3d5cb-de7de1ac-f839f83e-6d70e55a-28b81366.mp3]
Oszołomiony,Thunderstruck [sound:sapi5js-f1e39031-b55eecce-9b6896cc-a662f5f9-6c8ef4c1.mp3]
mielony,minced [sound:sapi5js-b35ed639-f31b3fcc-bbd9e191-dcf6b6b8-3d802271.mp3]
wykałaczka,toothpick [sound:sapi5js-ba9bd01e-40c2681d-14e171fd-db7a96a0-bd873a12.mp3]
zaborczy,possessive [sound:sapi5js-d95ed33d-11de9fbe-907fdae1-4330f652-efc0089e.mp3]
Baronowa,Baroness [sound:sapi5js-b372bcc7-76b29c72-ff16c349-e45e5f70-959c4e4a.mp3]
"onieśmielony<div><img src=""image-18e9cb14d0c022d4342801a230d286104a985f72.jpg""><br></div>",intimidated [sound:sapi5js-fcb5b698-be4e151d-ea9c5d42-0730d06d-1738d276.mp3]
"dreszczyk<div><img src=""image-58d07348923ff1b8823b4a0d1339e4997f5b0b79.jpg""><br></div>",thrill [sound:sapi5js-dd9ed784-e65b6b64-f6554a44-81bb6815-ca68d51b.mp3]
patrzeć w przyszłość,look forward [sound:sapi5js-20a5a5af-392be492-fea352ff-70849cbc-7838fb05.mp3]
połączyć się,interconnect [sound:sapi5js-4b163140-b2cfd16e-b400036a-3c197cea-3823c5cd.mp3]
podcięcie,undercut [sound:sapi5js-ff181834-9468ac7c-6d06b4f4-6e469f20-0ab1ebe0.mp3]
uwięzienie,confinement [sound:sapi5js-677d450a-3afa9462-093092d7-a86c0f69-db510a9c.mp3]
"footsie<div>&nbsp; &nbsp;Footsie is an intimate and playful way to <a href=""https://www.wikihow.com/Flirt"">flirt</a>. &nbsp;<br><div><img src=""image-4e01388e25ed830a70e823267790cee2164af7c6.jpg""><br></div><div><img src=""image-d3921dab9b1619a37f53d9d169834b382de7d031.jpg""><br></div></div>",footsie [sound:sapi5js-0c62d030-2176c764-9d2f59d1-b2811e13-6a930800.mp3]
wyrównanie,alignment [sound:sapi5js-5979c63b-4e413f45-3dcdf78a-a5cdd29f-92dc7629.mp3]
"przeplatają się<div>Tangle<br><div><img src=""image-ff256081c7e4594dea5d8428c09abddef8ded74f.jpg""><br></div><div><img src=""image-4d11d3b93b23e5be75ec30bb35cf0bdccac1bee3.jpg""><br></div></div>",intertwining [sound:sapi5js-c31e6385-f9a03ab0-16ce7ed4-0b2599ee-6abfac1c.mp3]
przydatki,appendages [sound:sapi5js-b28eb677-f9c8a7bf-bc323e05-8a060f8f-e790651c.mp3]
jego kolano,his lap [sound:sapi5js-4be9ac2c-eb215041-dc0e3bfa-8492d959-e668bbbe.mp3]
"stanąć rozkrakiem<div><img src=""image-cd5b1355dd2bcf271d2d46b80a5f73a4c65e99c1.jpg""><br></div><div><img src=""image-2bd56b964fd3063575106c09c84c6d6c0c6725b8.jpg""><br></div><div><img src=""image-9cd7d2642c3edcfbc870d1de7d6d0117505bdc9a.jpg""><br></div>",straddle [sound:sapi5js-f18188f8-53ae6363-d87c63cd-db7d225f-187d2607.mp3]
rozkraczyć się,bestride [sound:sapi5js-40cb3542-e78975a9-5f185ad5-e0aa7a3a-c8ea44d7.mp3]
okrakiem,straddling [sound:sapi5js-e13d02cc-7d8c4b4d-8de23ed6-63a120e9-ef7c001d.mp3]
maszyna do mielenia,grinding machine [sound:sapi5js-b07ab0e6-76ebff03-15ccadc4-ec42f9f0-6829e836.mp3]
łechtaczka,clitoral [sound:sapi5js-6dda2e50-a105ab65-031d5c52-9c0ba365-f94487ea.mp3]
Stowarzyszenie,Association [sound:sapi5js-cc900965-e7f6f694-3572ca73-3c2f19b6-201ac456.mp3]
"dokuczanie<div><b>The university condemns all forms of harassment</b><br></div><div><b><br></b></div><div><b>Verbal, visual, and physical harassment</b><b><br></b></div>",harassment [sound:sapi5js-530ef39b-d0c942e7-7f4e8cea-96780811-39fb9ac6.mp3]
nalegać na twoje,insist on your [sound:sapi5js-deb5080f-9fb0e23c-0dd0df8e-0d8bda1c-515da957.mp3]
nakładające się,overlapping [sound:sapi5js-27736e6f-a75da0c6-5493154a-800f45c0-c3ec9869.mp3]
skomleć,whine [sound:sapi5js-bccc827b-2e336ea1-0ee092c4-a3265271-bb1e0ceb.mp3]
wacik,swab [sound:sapi5js-eb78d7db-11cc8c41-5a4f5b66-2e554be7-0554abc9.mp3]
przechylenie,tilt [sound:sapi5js-12c4f8ce-e723a642-e4a33c85-e524b29f-5a867b2f.mp3]
"<b>pozbawiony</b><div><br></div><div>lacking (something<br></div><div><br></div><div><b>Unhappy</b> to loss sth</div><div><br></div><div><img src=""paste-2a92dc790dcca1c68786e7b9bdc7208763dd5d1b.jpg""><br></div>",bereft [sound:sapi5js-8683d583-4e1269ee-fd5edce4-4f91fda4-450dea80.mp3]
tymczasowy temporary&nbsp;,interim [sound:sapi5js-8f001cfa-05cc05b6-da83a107-afb1caf2-544309b8.mp3]
"obumierać<div><img src=""paste-e4a24e6f97fd18ec8107eb7674eb0df1ae668e86.jpg""><br></div><div>I cos z wysokoscia np konia</div>",wither [sound:sapi5js-22db1acd-47585536-540421da-bc4f6668-a5d165a2.mp3]
śliniaczek,bib [sound:sapi5js-78914df9-6679d044-d2e81e83-85c1797e-901cdfa0.mp3]
pływające miasto,floating City [sound:sapi5js-8fc03b1a-4d6e2059-99c9d0f8-85d2c559-e3d220ef.mp3]
"nieskuteczny<div><img src=""image-964c77cd78f59c0ceba1b46f18a6dbde0e7fb676.jpg""><br></div><div><img src=""image-c022aea86f8bad8402807cca49129d5c9e6481ae.jpg""><br></div>",inefficient [sound:sapi5js-16ff2e24-5fb43012-cb10f252-29107e92-93db5aef.mp3]
podniecony,aroused [sound:sapi5js-21a4eb4f-781d4e9f-c589b704-548d17f2-ab8f564b.mp3]
malejący,diminishing [sound:sapi5js-70a2e212-1e3772f0-c4b44779-3b3a4136-42c33659.mp3]
przypomnij sobie,recap mind [sound:sapi5js-04e13483-3cbf3043-1bd57ece-9c6b97d2-67222985.mp3]
jajko do pobierania,retrieval egg [sound:sapi5js-2a0ed5eb-e292c5d7-c34a29e5-82286d2d-9afd151d.mp3]
odliczenie,deductible [sound:sapi5js-f3f6f81f-00c60d56-ff1efae1-a4079f71-cc013e57.mp3]
Nudności,Nausea [sound:sapi5js-c691736e-3d8a31b3-4727f1d3-70a5fd67-1df0aa16.mp3]
łagodne skurcze,mild cramping [sound:sapi5js-9a944b77-59f077ea-36dbaae3-e01803bb-300427f5.mp3]
skurcze,cramping [sound:sapi5js-6e1de3cf-d2df8043-2a885631-82352e87-58aeb696.mp3]
odmówił,declined [sound:sapi5js-eab427d8-adb1665d-bd6c6ff6-154bd0ee-08ab7e41.mp3]
"Tętnica zstępująca, największa tętnica w ciele człowieka",Descending aorta [sound:sapi5js-ae46a602-5907c58f-e43efdd3-47d324a4-a1eefd3d.mp3]
mieć plamienie,have spotting [sound:sapi5js-18b2f30b-2c301744-1fdbc16e-da9610be-856cfb6d.mp3]
"pobieranie jajek<div>&nbsp; &nbsp;So, the women were undergoing a procedure called an egg retrieval, where <b>eggs are removed from the body and then either fertilized or frozen</b>&nbsp;&nbsp;<br></div><div><img src=""image-bb2940a0ed6febaf13a2da45d5afcfeab2c01752.jpg""><br></div>",retrievals [sound:sapi5js-0a46e111-e160ee68-229bfd02-4440a82b-f59616c0.mp3]
mnóstwo wkładek,penty liners [sound:sapi5js-9f4d0bc2-0fbc35f1-59fad5fb-fbad5aa1-1f86b16d.mp3]
"odstraszanie<div><img src=""image-5c4c8c89c02b9e340f818af5cfa58419e3e9de13.jpg""><br></div>",deterring [sound:sapi5js-27342f68-8700b76a-9bb65591-5c688d85-a23d42ce.mp3]
obsadzony przez,staffed by [sound:sapi5js-5261f25c-043b568e-ebe9adbd-9023f967-7d7decde.mp3]
przeprowadzona,conducted [sound:sapi5js-6fb577e2-577670b1-997e2ac8-dff1278a-ee0d2582.mp3]
sposób myślenia,the mindset [sound:sapi5js-6f27fb75-fbccb853-5c6e81e0-ebc18de4-08fbd5b6.mp3]
rekonstrukcja kryminalistyczna,forensic reconstruction [sound:sapi5js-fb406894-a99dd87e-6ae589da-b700a454-29d36e0f.mp3]
"węzeł<div><img src=""image-70f701500bdd7946c4197a1bd802784e18605009.jpg""><br></div>",junction [sound:sapi5js-acd76f27-88405ae2-45019ec5-d4db9f67-f629e0e4.mp3]
odrzucenie,conjection [sound:sapi5js-91d007a1-d1ac2149-418b43e0-53933811-e3ea0205.mp3]
podpisać się,endorse [sound:sapi5js-e8d18254-a3fc521d-612d5d9e-03ff469f-0e644c5f.mp3]
złe prowadzenie się,misconduct [sound:sapi5js-70ec24fe-4a461dd4-37c570d4-371768a6-4826f7fd.mp3]
"wyskakuje<div><img src=""image-a0963151d152d4946238ca93f3ea3cd03d0013b7.jpg""><br></div>",flopping out [sound:sapi5js-151b2b60-95f3b78d-e5e367ad-7ce7b175-8e60b352.mp3]
